id,label
63,0,cat,0.9992668
77,0,cat,0.9883887
88,1,dog,0.5152992
89,0,cat,0.9896842
76,1,dog,0.9992899
62,1,dog,0.99979275
74,1,dog,0.5941998
60,0,cat,0.99987566
48,0,cat,0.8639225
49,1,dog,0.93166816
61,0,cat,0.9999975
75,0,cat,0.99996245
59,1,dog,0.9982475
71,1,dog,0.96288466
65,1,dog,0.99999964
64,1,dog,0.7929705
70,1,dog,0.99210876
58,0,cat,0.9998797
8,0,cat,0.76608413
66,1,dog,0.9972077
72,1,dog,0.9941121
99,0,cat,0.9999901
98,0,cat,0.5410989
73,1,dog,0.9998128
67,1,dog,0.99948704
9,0,cat,0.9999987
14,0,cat,0.9998079
28,0,cat,0.9999944
100,0,cat,0.99997795
29,0,cat,0.9953003
15,0,cat,0.9999852
17,0,cat,0.94136566
16,0,cat,0.99999976
12,1,dog,0.8926574
13,0,cat,0.9997297
39,0,cat,0.8573549
11,0,cat,0.9982029
10,0,cat,0.9999988
38,0,cat,0.99998057
21,1,dog,0.9999455
35,0,cat,0.99988616
34,0,cat,0.99915147
20,0,cat,0.9999807
36,0,cat,0.9996666
22,0,cat,0.99999845
23,1,dog,0.86930484
37,0,cat,1.0
33,1,dog,0.99953556
27,0,cat,0.9999765
26,1,dog,0.9779267
32,1,dog,0.913581
18,1,dog,0.9978544
24,1,dog,0.97877467
30,1,dog,0.9989675
31,0,cat,0.7283981
25,0,cat,0.99990237
19,0,cat,0.994689
42,1,dog,0.9999902
4,1,dog,0.99962986
56,0,cat,0.9991725
81,0,cat,0.99888915
95,1,dog,0.99999607
94,1,dog,0.99961627
80,0,cat,0.9999857
5,0,cat,0.997776
57,1,dog,0.9999784
43,1,dog,0.9999882
55,1,dog,0.96369725
7,0,cat,0.9999995
41,0,cat,0.66522694
69,1,dog,0.9999926
96,0,cat,0.99963796
82,0,cat,0.9998839
83,1,dog,0.9998363
97,1,dog,0.96717894
68,0,cat,0.9999833
40,0,cat,0.99622524
54,0,cat,0.995141
6,0,cat,0.9848674
78,1,dog,0.9853506
2,1,dog,0.9998708
50,0,cat,0.98028827
44,1,dog,0.97824025
93,0,cat,0.9999926
87,0,cat,0.9920833
86,0,cat,0.8027378
92,0,cat,0.9999925
45,0,cat,0.99987745
3,1,dog,0.9921482
51,0,cat,0.9933328
79,0,cat,0.9462761
47,0,cat,0.99991655
53,0,cat,0.9986356
1,1,dog,0.9940509
84,0,cat,0.9996251
90,0,cat,0.99744
91,0,cat,0.97920394
85,1,dog,0.9998925
52,0,cat,0.9999883
46,1,dog,0.9980167
